Player_ID,Game_ID,Points_Scored,Total_FGA,Total_FGM,First_Half_FGA,First_Half_FGM,Second_Half_FGA,Second_Half_FGM,Two_FGA,Two_FGM,Three_FGA,Three_FGM,Offensive_Rebounds,Defensive_Rebounds,Total_Rebounds,Turnovers,Assists,Steals,Free_Throw_Attempts,Free_Throw_Makes,Two_PPA,Three_PPA,Total_PPA,Offensive_Efficiency,Raw_EOP,Effective_FG_Percent,First_Half_FG_Percent,Second_Half_FG_Percent,Total_FG_Percent
1,1,23,14,7,9,4,5,3,11,6,3,1,3,1,4,1,3,0,12,8,1.0909090909090908,1.0,1.0714285714285714,0.6666666666666666,16.85333333333333,0.5357142857142857,0.4444444444444444,0.6,0.5
3,1,9,7,4,1,0,6,4,6,3,1,1,1,7,8,2,1,2,0,0,1.0,3.0,1.2857142857142858,0.5555555555555556,5.4222222222222225,0.6428571428571429,0.0,0.6666666666666666,0.5714285714285714
4,1,3,3,1,2,1,1,0,2,0,1,1,0,0,0,0,3,1,1,0,0.0,3.0,1.0,0.6666666666666666,3.52,0.5,0.5,0.0,0.3333333333333333
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1,5,2,2,0,0,2,2,2,2,0,0,0,2,2,3,4,2,4,1,2.0,0.0,2.0,0.6666666666666666,5.359999999999999,1.0,0.0,1.0,1.0
11,1,10,8,4,4,1,4,3,7,4,1,0,9,5,14,4,0,0,2,2,1.1428571428571428,0.0,1.0,1.3333333333333333,13.333333333333332,0.5,0.25,0.75,0.5
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1.0,0.76,0.0,0.0,0.0,0.0
20,1,3,3,1,2,0,1,1,2,0,1,1,0,1,1,1,2,0,0,0,0.0,3.0,1.0,0.5,2.26,0.5,0.0,1.0,0.3333333333333333
24,1,14,10,5,7,3,3,2,8,3,2,2,1,4,5,2,3,1,4,2,0.75,3.0,1.2,0.5714285714285714,9.302857142857142,0.6,0.42857142857142855,0.6666666666666666,0.5
25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,11,9,2,4,0,5,2,7,1,2,1,4,2,6,4,1,0,4,4,0.2857142857142857,1.5,0.5555555555555556,0.3,3.528,0.2777777777777778,0.0,0.4,0.2222222222222222
3,2,8,11,4,5,2,6,2,9,4,2,0,2,3,5,2,1,2,0,0,0.8888888888888888,0.0,0.7272727272727273,0.4166666666666667,3.65,0.36363636363636365,0.4,0.3333333333333333,0.36363636363636365
4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2,4,5,2,0,0,5,2,3,2,2,0,1,3,4,1,3,4,2,1,1.3333333333333333,0.0,0.8,0.625,3.9250000000000003,0.4,0.0,0.4,0.4
11,2,14,9,6,6,5,3,1,7,5,2,1,2,4,6,0,1,0,2,1,1.4285714285714286,1.5,1.4444444444444444,0.875,12.915,0.7222222222222222,0.8333333333333334,0.3333333333333333,0.6666666666666666
15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2,2,6,1,3,1,3,0,3,1,3,0,1,0,1,3,1,1,0,0,0.6666666666666666,0.0,0.3333333333333333,0.2222222222222222,0.6133333333333333,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666
24,2,6,11,3,5,0,6,3,9,3,2,0,3,2,5,5,4,1,0,0,0.6666666666666666,0.0,0.5454545454545454,0.4117647058823529,3.72235294117647,0.2727272727272727,0.0,0.5,0.2727272727272727
25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,9,9,4,6,3,3,1,7,3,2,1,0,2,2,1,3,3,0,0,0.8571428571428571,1.5,1.0,0.5384615384615384,6.073846153846154,0.5,0.5,0.3333333333333333,0.4444444444444444
3,3,21,10,9,9,8,1,1,10,9,0,0,3,5,8,0,3,3,3,3,1.8,0.0,1.8,1.2,27.936,0.9,0.8888888888888888,1.0,0.9
4,3,0,1,0,0,0,1,0,0,0,0,0,0,1,1,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3,4,5,2,1,0,4,2,3,2,1,0,0,4,4,0,1,1,0,0,1.3333333333333333,0.0,0.8,0.5,2.38,0.4,0.0,0.5,0.4
10,3,14,6,4,2,1,4,3,2,1,4,3,2,4,6,0,5,3,4,3,1.0,2.25,1.8333333333333333,1.0,17.8,0.9166666666666666,0.5,0.75,0.6666666666666666
11,3,6,4,3,2,1,2,2,4,3,0,0,0,0,0,0,2,1,0,0,1.5,0.0,1.5,0.8333333333333334,6.266666666666667,0.75,0.5,1.0,0.75
15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,3,4,8,3,6,2,2,1,6,3,2,0,3,2,5,0,2,1,2,0,1.0,0.0,0.75,0.7142857142857143,3.9428571428571426,0.375,0.3333333333333333,0.5,0.375
24,3,17,14,8,10,6,4,2,11,7,3,1,4,1,5,0,5,4,0,0,1.2727272727272727,1.0,1.2142857142857142,0.8666666666666667,18.026666666666667,0.6071428571428571,0.6,0.5,0.5714285714285714
25,3,0,1,0,0,0,1,0,1,0,1,0,1,1,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,3,5,3,2,0,0,3,2,1,0,1,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,5.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
