Player_ID,Game_ID,Points_Scored,Total_FGA,Total_FGM,First_Half_FGA,First_Half_FGM,Second_Half_FGA,Second_Half_FGM,Two_FGA,Two_FGM,Three_FGA,Three_FGM,Offensive_Rebounds,Defensive_Rebounds,Total_Rebounds,Turnovers,Assists,Steals,Free_Throw_Attempts,Free_Throw_Makes
1,1,23,14,7,9,4,5,3,11,6,3,1,3,1,4,1,3,0,12,8
3,1,9,7,4,1,0,6,4,6,3,1,1,1,7,8,2,1,2,0,0
4,1,3,3,1,2,1,1,0,2,0,1,1,0,0,0,0,3,1,1,0
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,1,5,2,2,0,0,2,2,2,2,0,0,0,2,2,3,4,2,4,1
11,1,10,8,4,4,1,4,3,7,4,1,0,9,5,14,4,0,0,2,2
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,1,3,3,1,2,0,1,1,2,0,1,1,0,1,1,1,2,0,0,0
24,1,14,10,5,7,3,3,2,8,3,2,2,1,4,5,2,3,1,4,2
25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,11,9,2,4,0,5,2,7,1,2,1,4,2,6,4,1,0,4,4
3,2,8,11,4,5,2,6,2,9,4,2,0,2,3,5,2,1,2,0,0
4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
10,2,4,5,2,0,0,5,2,3,2,2,0,1,3,4,1,3,4,2,1
11,2,14,9,6,6,5,3,1,7,5,2,1,2,4,6,0,1,0,2,1
15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2,2,6,1,3,1,3,0,3,1,3,0,1,0,1,3,1,1,0,0
24,2,6,11,3,5,0,6,3,9,3,2,0,3,2,5,5,4,1,0,0
25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,9,9,4,6,3,3,1,7,3,2,1,0,2,2,1,3,3,0,0
3,3,21,10,9,9,8,1,1,10,9,0,0,3,5,8,0,3,3,3,3
4,3,0,1,0,0,0,1,0,0,0,0,0,0,1,1,3,0,0,0,0
5,3,4,5,2,1,0,4,2,3,2,1,0,0,4,4,0,1,1,0,0
10,3,14,6,4,2,1,4,3,2,1,4,3,2,4,6,0,5,3,4,3
11,3,6,4,3,2,1,2,2,4,3,0,0,0,0,0,0,2,1,0,0
15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,3,4,8,3,6,2,2,1,6,3,2,0,3,2,5,0,2,1,2,0
24,3,17,14,8,10,6,4,2,11,7,3,1,4,1,5,0,5,4,0,0
25,3,0,1,0,0,0,1,0,1,0,1,0,1,1,2,0,0,0,0,0
13,3,5,3,2,0,0,3,2,1,0,1,0,1,0,1,0,0,0,0,0
